age,gender,height,weight,activity_level,food_pref,bmi,category
69,Male,184,58,3,Veg,17.13,Underweight
48,Male,166,68,4,Vegan,24.68,Normal
35,Female,163,114,3,Vegan,42.91,Obese
67,Female,157,47,2,Vegan,19.07,Normal
30,Male,183,105,4,Non-Veg,31.35,Obese
69,Male,162,45,2,Non-Veg,17.15,Underweight
32,Female,163,115,1,Vegan,43.28,Obese
48,Female,174,82,2,Vegan,27.08,Overweight
19,Male,186,100,2,Veg,28.91,Overweight
37,Male,171,79,1,Non-Veg,27.02,Overweight
66,Male,166,102,3,Non-Veg,37.02,Obese
21,Male,188,50,1,Vegan,14.15,Underweight
42,Male,154,64,4,Vegan,26.99,Overweight
58,Male,189,117,1,Non-Veg,32.75,Obese
19,Male,192,108,2,Non-Veg,29.3,Overweight
51,Male,178,82,3,Non-Veg,25.88,Overweight
50,Female,156,109,3,Veg,44.79,Obese
18,Female,153,48,1,Non-Veg,20.5,Normal
44,Male,181,77,4,Non-Veg,23.5,Normal
58,Male,185,104,2,Non-Veg,30.39,Obese
33,Female,172,100,1,Veg,33.8,Obese
35,Female,162,87,3,Veg,33.15,Obese
59,Male,164,62,3,Non-Veg,23.05,Normal
68,Female,183,102,4,Vegan,30.46,Obese
24,Female,167,51,4,Non-Veg,18.29,Underweight
39,Female,150,112,2,Veg,49.78,Obese
69,Female,192,73,1,Non-Veg,19.8,Normal
31,Male,196,86,3,Vegan,22.39,Normal
23,Female,169,71,2,Veg,24.86,Normal
66,Male,173,91,3,Vegan,30.41,Obese
39,Male,184,106,2,Veg,31.31,Obese
39,Male,169,73,3,Veg,25.56,Overweight
59,Female,150,75,2,Non-Veg,33.33,Obese
34,Female,163,100,2,Vegan,37.64,Obese
36,Male,193,79,2,Veg,21.21,Normal
18,Female,170,114,1,Veg,39.45,Obese
68,Male,176,65,1,Vegan,20.98,Normal
57,Female,165,109,4,Non-Veg,40.04,Obese
60,Male,172,51,4,Veg,17.24,Underweight
24,Female,164,78,2,Veg,29.0,Overweight
21,Female,163,60,3,Vegan,22.58,Normal
19,Female,199,56,2,Non-Veg,14.14,Underweight
49,Male,169,45,2,Vegan,15.76,Underweight
23,Male,167,50,1,Veg,17.93,Underweight
40,Male,175,51,3,Vegan,16.65,Underweight
43,Male,164,80,1,Vegan,29.74,Overweight
44,Male,154,105,2,Vegan,44.27,Obese
50,Female,172,82,3,Non-Veg,27.72,Overweight
46,Female,184,111,3,Veg,32.79,Obese
51,Male,190,85,3,Vegan,23.55,Normal
20,Female,181,75,2,Vegan,22.89,Normal
24,Male,150,105,2,Non-Veg,46.67,Obese
56,Female,156,74,4,Veg,30.41,Obese
34,Male,159,107,3,Non-Veg,42.32,Obese
68,Female,161,100,4,Veg,38.58,Obese
49,Male,176,72,1,Non-Veg,23.24,Normal
67,Female,151,80,2,Vegan,35.09,Obese
30,Male,174,104,2,Vegan,34.35,Obese
43,Male,160,118,1,Veg,46.09,Obese
65,Male,187,85,1,Non-Veg,24.31,Normal
50,Male,173,101,2,Veg,33.75,Obese
41,Male,153,61,1,Non-Veg,26.06,Overweight
65,Female,189,102,3,Veg,28.55,Overweight
38,Female,178,68,2,Veg,21.46,Normal
34,Female,191,89,2,Veg,24.4,Normal
26,Female,198,73,3,Non-Veg,18.62,Normal
37,Female,196,53,1,Vegan,13.8,Underweight
44,Male,177,63,2,Non-Veg,20.11,Normal
42,Female,175,90,4,Veg,29.39,Overweight
35,Female,152,110,1,Non-Veg,47.61,Obese
36,Male,193,77,4,Veg,20.67,Normal
20,Male,198,99,2,Vegan,25.25,Overweight
25,Female,185,51,2,Non-Veg,14.9,Underweight
53,Female,173,105,2,Non-Veg,35.08,Obese
18,Male,174,54,2,Non-Veg,17.84,Underweight
25,Male,188,50,4,Vegan,14.15,Underweight
58,Female,192,70,2,Non-Veg,18.99,Normal
24,Male,175,89,4,Vegan,29.06,Overweight
20,Female,153,70,3,Non-Veg,29.9,Overweight
31,Female,179,93,4,Non-Veg,29.03,Overweight
61,Male,162,70,1,Non-Veg,26.67,Overweight
59,Male,172,67,1,Non-Veg,22.65,Normal
65,Female,151,64,3,Non-Veg,28.07,Overweight
20,Male,161,84,2,Non-Veg,32.41,Obese
33,Male,183,88,1,Non-Veg,26.28,Overweight
23,Male,185,66,2,Vegan,19.28,Normal
47,Male,189,115,4,Vegan,32.19,Obese
23,Female,176,97,3,Veg,31.31,Obese
65,Male,154,55,3,Vegan,23.19,Normal
22,Male,186,53,3,Vegan,15.32,Underweight
46,Female,166,70,1,Veg,25.4,Overweight
28,Female,157,79,3,Non-Veg,32.05,Obese
31,Female,161,82,4,Vegan,31.63,Obese
63,Female,190,54,2,Veg,14.96,Underweight
34,Male,180,45,4,Vegan,13.89,Underweight
21,Female,162,48,2,Veg,18.29,Underweight
36,Female,161,118,2,Non-Veg,45.52,Obese
25,Male,160,107,1,Vegan,41.8,Obese
29,Male,151,52,2,Vegan,22.81,Normal
53,Female,170,52,4,Veg,17.99,Underweight
59,Female,163,98,2,Veg,36.89,Obese
39,Male,193,94,2,Vegan,25.24,Overweight
37,Female,172,51,1,Veg,17.24,Underweight
43,Female,187,105,4,Non-Veg,30.03,Obese
61,Female,155,61,3,Non-Veg,25.39,Overweight
55,Female,159,116,1,Non-Veg,45.88,Obese
38,Male,188,77,3,Non-Veg,21.79,Normal
45,Male,181,92,2,Vegan,28.08,Overweight
27,Female,191,76,2,Non-Veg,20.83,Normal
42,Male,172,101,4,Non-Veg,34.14,Obese
40,Male,180,108,3,Veg,33.33,Obese
38,Female,167,91,1,Veg,32.63,Obese
51,Female,184,95,2,Veg,28.06,Overweight
35,Female,173,116,1,Non-Veg,38.76,Obese
61,Male,159,96,1,Vegan,37.97,Obese
19,Female,175,80,1,Vegan,26.12,Overweight
30,Female,174,112,2,Vegan,36.99,Obese
35,Male,179,63,2,Vegan,19.66,Normal
33,Male,161,68,2,Veg,26.23,Overweight
25,Female,197,49,2,Non-Veg,12.63,Underweight
30,Male,178,47,2,Vegan,14.83,Underweight
29,Female,160,72,2,Veg,28.12,Overweight
54,Female,161,46,3,Veg,17.75,Underweight
24,Female,175,60,3,Non-Veg,19.59,Normal
26,Female,164,57,1,Vegan,21.19,Normal
27,Female,162,85,1,Non-Veg,32.39,Obese
67,Male,191,51,4,Vegan,13.98,Underweight
32,Female,185,114,1,Vegan,33.31,Obese
61,Female,186,67,1,Veg,19.37,Normal
65,Male,194,84,1,Vegan,22.32,Normal
33,Female,153,75,1,Non-Veg,32.04,Obese
42,Female,161,53,4,Veg,20.45,Normal
69,Female,177,100,3,Veg,31.92,Obese
51,Female,183,102,2,Vegan,30.46,Obese
59,Female,153,97,1,Vegan,41.44,Obese
58,Female,186,95,2,Vegan,27.46,Overweight
32,Female,164,49,1,Vegan,18.22,Underweight
68,Female,161,48,3,Non-Veg,18.52,Normal
33,Female,185,69,3,Non-Veg,20.16,Normal
53,Male,152,53,1,Veg,22.94,Normal
35,Male,184,107,1,Vegan,31.6,Obese
51,Male,163,48,1,Veg,18.07,Underweight
62,Female,164,72,2,Veg,26.77,Overweight
51,Female,150,83,4,Non-Veg,36.89,Obese
34,Female,176,79,2,Non-Veg,25.5,Overweight
56,Female,198,106,2,Vegan,27.04,Overweight
39,Female,198,103,1,Vegan,26.27,Overweight
40,Female,198,75,3,Vegan,19.13,Normal
60,Female,173,93,4,Non-Veg,31.07,Obese
33,Male,196,59,3,Non-Veg,15.36,Underweight
61,Female,185,111,2,Veg,32.43,Obese
39,Female,199,93,4,Vegan,23.48,Normal
38,Female,153,88,3,Non-Veg,37.59,Obese
40,Female,169,67,4,Veg,23.46,Normal
38,Male,166,81,1,Vegan,29.39,Overweight
47,Male,167,106,4,Vegan,38.01,Obese
62,Female,156,88,1,Vegan,36.16,Obese
51,Female,154,99,2,Non-Veg,41.74,Obese
58,Male,188,113,2,Non-Veg,31.97,Obese
27,Female,176,104,4,Vegan,33.57,Obese
38,Female,150,74,1,Veg,32.89,Obese
26,Male,154,102,1,Non-Veg,43.01,Obese
48,Female,189,82,3,Vegan,22.96,Normal
36,Female,199,77,1,Non-Veg,19.44,Normal
50,Female,178,87,1,Non-Veg,27.46,Overweight
61,Female,180,50,1,Veg,15.43,Underweight
24,Female,176,65,4,Vegan,20.98,Normal
33,Female,195,64,2,Non-Veg,16.83,Underweight
42,Female,154,65,2,Vegan,27.41,Overweight
23,Male,178,63,4,Veg,19.88,Normal
18,Male,152,86,1,Vegan,37.22,Obese
58,Female,152,69,3,Veg,29.86,Overweight
55,Male,169,96,4,Veg,33.61,Obese
51,Male,197,114,3,Veg,29.37,Overweight
30,Male,172,117,1,Veg,39.55,Obese
19,Male,168,51,2,Vegan,18.07,Underweight
59,Female,169,117,1,Vegan,40.96,Obese
64,Female,185,63,1,Veg,18.41,Underweight
56,Female,156,83,4,Veg,34.11,Obese
21,Female,174,113,2,Veg,37.32,Obese
26,Female,173,58,1,Non-Veg,19.38,Normal
59,Male,168,56,2,Veg,19.84,Normal
47,Female,160,67,1,Veg,26.17,Overweight
32,Female,158,59,4,Veg,23.63,Normal
52,Female,176,64,1,Veg,20.66,Normal
66,Male,150,54,3,Vegan,24.0,Normal
49,Female,188,62,4,Non-Veg,17.54,Underweight
49,Male,177,62,3,Vegan,19.79,Normal
66,Male,167,88,4,Non-Veg,31.55,Obese
48,Female,183,115,4,Non-Veg,34.34,Obese
55,Male,158,117,2,Vegan,46.87,Obese
68,Male,167,49,2,Non-Veg,17.57,Underweight
21,Male,169,108,1,Non-Veg,37.81,Obese
60,Female,171,75,3,Veg,25.65,Overweight
55,Male,153,45,3,Veg,19.22,Normal
48,Female,191,49,4,Non-Veg,13.43,Underweight
59,Female,161,62,2,Non-Veg,23.92,Normal
32,Female,193,61,4,Vegan,16.38,Underweight
58,Male,188,78,2,Non-Veg,22.07,Normal
55,Male,183,88,3,Non-Veg,26.28,Overweight
23,Female,186,76,3,Vegan,21.97,Normal
39,Female,159,95,3,Veg,37.58,Obese
29,Male,197,61,3,Veg,15.72,Underweight
19,Female,159,61,4,Non-Veg,24.13,Normal
36,Male,181,118,1,Vegan,36.02,Obese
30,Male,170,68,2,Vegan,23.53,Normal
52,Male,153,84,4,Non-Veg,35.88,Obese
52,Male,193,84,1,Non-Veg,22.55,Normal
31,Male,176,50,1,Veg,16.14,Underweight
52,Male,190,46,1,Veg,12.74,Underweight
69,Female,177,87,3,Non-Veg,27.77,Overweight
39,Male,192,99,3,Vegan,26.86,Overweight
29,Female,154,83,1,Veg,35.0,Obese
62,Female,162,118,1,Veg,44.96,Obese
57,Female,165,89,3,Vegan,32.69,Obese
22,Female,160,115,1,Non-Veg,44.92,Obese
59,Female,183,111,4,Vegan,33.15,Obese
28,Male,156,110,2,Veg,45.2,Obese
49,Female,183,94,4,Veg,28.07,Overweight
29,Male,188,61,1,Vegan,17.26,Underweight
23,Male,172,114,2,Non-Veg,38.53,Obese
39,Female,174,116,1,Veg,38.31,Obese
69,Male,171,49,3,Non-Veg,16.76,Underweight
55,Female,186,108,2,Vegan,31.22,Obese
59,Male,197,88,2,Vegan,22.68,Normal
50,Female,187,79,2,Non-Veg,22.59,Normal
47,Male,190,103,1,Vegan,28.53,Overweight
45,Male,188,89,4,Veg,25.18,Overweight
44,Female,194,71,2,Vegan,18.86,Normal
59,Male,187,113,3,Non-Veg,32.31,Obese
32,Female,175,92,3,Vegan,30.04,Obese
26,Female,178,98,1,Non-Veg,30.93,Obese
68,Male,153,47,4,Veg,20.08,Normal
69,Male,182,102,3,Vegan,30.79,Obese
50,Male,188,90,2,Vegan,25.46,Overweight
53,Male,196,109,3,Vegan,28.37,Overweight
52,Male,177,45,1,Vegan,14.36,Underweight
55,Female,152,107,3,Non-Veg,46.31,Obese
35,Female,193,108,2,Veg,28.99,Overweight
26,Female,183,104,2,Veg,31.05,Obese
48,Female,199,80,2,Veg,20.2,Normal
66,Male,155,93,3,Non-Veg,38.71,Obese
22,Female,175,105,1,Veg,34.29,Obese
43,Female,193,70,4,Veg,18.79,Normal
32,Male,165,45,4,Veg,16.53,Underweight
20,Female,196,57,4,Vegan,14.84,Underweight
60,Male,151,98,3,Non-Veg,42.98,Obese
43,Female,187,90,1,Vegan,25.74,Overweight
25,Female,182,115,4,Non-Veg,34.72,Obese
38,Female,170,108,4,Non-Veg,37.37,Obese
63,Male,199,53,3,Non-Veg,13.38,Underweight
43,Female,178,80,4,Veg,25.25,Overweight
54,Female,156,67,1,Veg,27.53,Overweight
33,Female,177,92,2,Vegan,29.37,Overweight
31,Male,182,117,1,Vegan,35.32,Obese
44,Female,162,73,3,Veg,27.82,Overweight
60,Female,177,116,3,Veg,37.03,Obese
22,Female,156,86,4,Veg,35.34,Obese
44,Female,195,110,1,Veg,28.93,Overweight
44,Male,172,118,2,Veg,39.89,Obese
20,Female,155,97,2,Non-Veg,40.37,Obese
35,Male,151,66,1,Vegan,28.95,Overweight
41,Female,169,109,1,Veg,38.16,Obese
18,Male,194,47,2,Vegan,12.49,Underweight
28,Female,171,108,4,Veg,36.93,Obese
43,Male,150,68,3,Non-Veg,30.22,Obese
52,Female,177,60,3,Veg,19.15,Normal
68,Female,164,60,3,Veg,22.31,Normal
51,Male,150,112,3,Veg,49.78,Obese
52,Male,159,119,2,Non-Veg,47.07,Obese
56,Male,191,94,3,Vegan,25.77,Overweight
56,Male,161,51,1,Non-Veg,19.68,Normal
50,Male,197,46,1,Vegan,11.85,Underweight
24,Female,153,64,2,Veg,27.34,Overweight
53,Female,177,45,4,Vegan,14.36,Underweight
65,Female,185,99,1,Non-Veg,28.93,Overweight
36,Male,154,95,2,Vegan,40.06,Obese
62,Female,186,97,4,Veg,28.04,Overweight
35,Female,165,85,2,Non-Veg,31.22,Obese
19,Male,185,88,3,Vegan,25.71,Overweight
56,Male,175,61,4,Vegan,19.92,Normal
68,Male,180,93,1,Non-Veg,28.7,Overweight
69,Female,195,58,3,Veg,15.25,Underweight
52,Female,188,102,3,Vegan,28.86,Overweight
37,Female,190,60,4,Veg,16.62,Underweight
24,Female,161,49,1,Non-Veg,18.9,Normal
59,Female,159,87,1,Veg,34.41,Obese
62,Female,158,93,1,Non-Veg,37.25,Obese
26,Female,178,69,3,Non-Veg,21.78,Normal
59,Male,164,48,2,Non-Veg,17.85,Underweight
66,Female,188,119,2,Vegan,33.67,Obese
68,Female,191,108,2,Veg,29.6,Overweight
59,Female,169,102,4,Veg,35.71,Obese
55,Male,153,96,1,Non-Veg,41.01,Obese
61,Male,154,75,1,Veg,31.62,Obese
59,Female,182,111,2,Non-Veg,33.51,Obese
29,Male,152,101,1,Non-Veg,43.72,Obese
26,Female,151,106,3,Non-Veg,46.49,Obese
21,Male,162,88,3,Vegan,33.53,Obese
40,Male,151,105,2,Veg,46.05,Obese
61,Female,180,91,2,Non-Veg,28.09,Overweight
30,Female,154,102,2,Non-Veg,43.01,Obese
60,Male,174,78,1,Non-Veg,25.76,Overweight
24,Male,155,99,3,Veg,41.21,Obese
20,Female,173,97,2,Vegan,32.41,Obese
66,Female,161,110,3,Vegan,42.44,Obese
51,Female,167,96,2,Non-Veg,34.42,Obese
47,Female,192,74,4,Non-Veg,20.07,Normal
64,Male,169,69,3,Veg,24.16,Normal
28,Male,157,71,4,Non-Veg,28.8,Overweight
44,Female,168,94,2,Veg,33.3,Obese
56,Female,190,77,3,Veg,21.33,Normal
36,Male,196,60,3,Vegan,15.62,Underweight
43,Female,161,116,1,Non-Veg,44.75,Obese
45,Male,154,93,2,Veg,39.21,Obese
39,Male,162,72,1,Vegan,27.43,Overweight
40,Male,192,62,2,Veg,16.82,Underweight
47,Female,165,83,1,Non-Veg,30.49,Obese
65,Male,198,82,2,Veg,20.92,Normal
23,Female,199,82,2,Non-Veg,20.71,Normal
44,Male,157,118,1,Vegan,47.87,Obese
46,Female,155,66,2,Non-Veg,27.47,Overweight
43,Male,161,58,2,Vegan,22.38,Normal
40,Female,156,94,1,Veg,38.63,Obese
38,Male,159,99,3,Veg,39.16,Obese
32,Female,151,69,1,Non-Veg,30.26,Obese
68,Female,183,79,2,Vegan,23.59,Normal
59,Female,155,92,4,Veg,38.29,Obese
36,Male,167,117,4,Veg,41.95,Obese
20,Male,179,112,1,Veg,34.96,Obese
44,Female,178,56,1,Veg,17.67,Underweight
19,Male,194,92,4,Vegan,24.44,Normal
39,Female,160,102,2,Veg,39.84,Obese
52,Female,164,104,3,Non-Veg,38.67,Obese
58,Male,165,118,1,Vegan,43.34,Obese
19,Female,172,110,2,Vegan,37.18,Obese
68,Female,175,73,3,Non-Veg,23.84,Normal
31,Female,174,92,1,Veg,30.39,Obese
20,Female,175,62,1,Non-Veg,20.24,Normal
40,Male,150,65,3,Non-Veg,28.89,Overweight
23,Male,193,72,1,Veg,19.33,Normal
57,Female,152,110,4,Non-Veg,47.61,Obese
39,Male,179,113,1,Veg,35.27,Obese
28,Male,184,110,4,Vegan,32.49,Obese
50,Male,179,90,1,Vegan,28.09,Overweight
45,Female,180,55,3,Veg,16.98,Underweight
19,Female,190,71,3,Non-Veg,19.67,Normal
56,Male,170,102,1,Veg,35.29,Obese
38,Male,169,105,2,Non-Veg,36.76,Obese
42,Female,181,70,2,Veg,21.37,Normal
20,Male,150,95,1,Veg,42.22,Obese
36,Female,197,69,1,Vegan,17.78,Underweight
52,Female,179,49,2,Non-Veg,15.29,Underweight
56,Male,196,98,3,Veg,25.51,Overweight
37,Male,154,77,4,Non-Veg,32.47,Obese
37,Female,165,83,1,Non-Veg,30.49,Obese
49,Female,173,91,4,Veg,30.41,Obese
57,Female,172,94,1,Vegan,31.77,Obese
49,Female,164,80,1,Vegan,29.74,Overweight
22,Female,165,85,2,Non-Veg,31.22,Obese
66,Female,156,48,2,Veg,19.72,Normal
33,Male,175,73,3,Veg,23.84,Normal
31,Male,198,77,1,Veg,19.64,Normal
34,Male,192,102,2,Veg,27.67,Overweight
37,Female,168,97,3,Veg,34.37,Obese
35,Male,195,77,3,Non-Veg,20.25,Normal
26,Male,181,105,2,Veg,32.05,Obese
36,Male,155,78,4,Veg,32.47,Obese
21,Female,159,55,3,Non-Veg,21.76,Normal
47,Male,198,51,4,Vegan,13.01,Underweight
33,Female,161,79,1,Veg,30.48,Obese
67,Male,185,61,4,Veg,17.82,Underweight
23,Female,176,64,1,Non-Veg,20.66,Normal
26,Female,187,47,4,Non-Veg,13.44,Underweight
56,Male,150,114,1,Non-Veg,50.67,Obese
64,Male,194,70,1,Non-Veg,18.6,Normal
24,Female,180,103,3,Veg,31.79,Obese
59,Female,166,58,4,Non-Veg,21.05,Normal
65,Female,194,107,2,Vegan,28.43,Overweight
42,Male,181,62,1,Non-Veg,18.92,Normal
26,Female,184,108,4,Non-Veg,31.9,Obese
59,Female,168,74,1,Vegan,26.22,Overweight
60,Male,160,75,1,Vegan,29.3,Overweight
53,Female,172,63,4,Vegan,21.3,Normal
48,Male,186,81,3,Veg,23.41,Normal
67,Male,175,46,4,Vegan,15.02,Underweight
69,Female,171,94,2,Vegan,32.15,Obese
43,Male,160,72,4,Non-Veg,28.12,Overweight
25,Male,160,62,3,Non-Veg,24.22,Normal
67,Female,159,53,3,Vegan,20.96,Normal
61,Female,152,97,3,Non-Veg,41.98,Obese
45,Male,188,69,1,Non-Veg,19.52,Normal
60,Male,168,92,2,Veg,32.6,Obese
69,Female,181,94,3,Veg,28.69,Overweight
22,Female,177,116,1,Veg,37.03,Obese
68,Male,186,65,2,Non-Veg,18.79,Normal
50,Female,198,87,3,Non-Veg,22.19,Normal
23,Female,163,111,4,Veg,41.78,Obese
19,Female,164,67,1,Veg,24.91,Normal
49,Male,179,72,2,Non-Veg,22.47,Normal
34,Female,195,114,3,Non-Veg,29.98,Overweight
44,Female,173,68,2,Non-Veg,22.72,Normal
57,Male,164,119,2,Non-Veg,44.24,Obese
41,Male,167,88,4,Veg,31.55,Obese
60,Female,189,115,3,Veg,32.19,Obese
51,Male,171,79,4,Veg,27.02,Overweight
59,Female,167,68,4,Non-Veg,24.38,Normal
62,Male,157,48,3,Veg,19.47,Normal
50,Male,183,74,4,Vegan,22.1,Normal
64,Female,186,51,3,Vegan,14.74,Underweight
56,Female,163,97,2,Non-Veg,36.51,Obese
21,Female,167,69,3,Non-Veg,24.74,Normal
45,Male,152,64,3,Vegan,27.7,Overweight
57,Male,172,51,3,Veg,17.24,Underweight
24,Female,183,63,2,Veg,18.81,Normal
65,Male,167,85,4,Veg,30.48,Obese
59,Male,163,69,3,Vegan,25.97,Overweight
32,Female,176,118,3,Vegan,38.09,Obese
36,Male,177,77,4,Non-Veg,24.58,Normal
36,Female,171,47,1,Veg,16.07,Underweight
35,Male,197,46,4,Non-Veg,11.85,Underweight
23,Male,189,46,1,Vegan,12.88,Underweight
19,Male,182,118,2,Vegan,35.62,Obese
25,Male,182,50,4,Vegan,15.09,Underweight
57,Male,168,71,1,Vegan,25.16,Overweight
69,Male,189,76,1,Veg,21.28,Normal
25,Male,191,53,4,Vegan,14.53,Underweight
52,Female,156,97,2,Non-Veg,39.86,Obese
42,Male,195,68,2,Non-Veg,17.88,Underweight
39,Male,197,52,3,Vegan,13.4,Underweight
52,Male,195,82,4,Non-Veg,21.56,Normal
54,Male,177,84,2,Vegan,26.81,Overweight
61,Male,166,77,3,Non-Veg,27.94,Overweight
69,Female,165,53,1,Veg,19.47,Normal
46,Male,170,102,1,Veg,35.29,Obese
27,Female,162,109,4,Veg,41.53,Obese
64,Female,157,54,1,Veg,21.91,Normal
58,Male,160,56,2,Veg,21.87,Normal
66,Male,174,55,2,Non-Veg,18.17,Underweight
53,Male,175,100,4,Veg,32.65,Obese
21,Male,179,56,4,Vegan,17.48,Underweight
30,Female,180,112,4,Vegan,34.57,Obese
39,Male,160,100,1,Non-Veg,39.06,Obese
46,Female,188,56,3,Vegan,15.84,Underweight
56,Female,197,117,1,Non-Veg,30.15,Obese
62,Male,185,68,4,Veg,19.87,Normal
19,Male,180,72,4,Vegan,22.22,Normal
32,Male,189,77,4,Non-Veg,21.56,Normal
29,Male,158,67,4,Non-Veg,26.84,Overweight
44,Male,162,75,1,Non-Veg,28.58,Overweight
60,Female,154,57,4,Vegan,24.03,Normal
42,Male,184,91,3,Vegan,26.88,Overweight
55,Female,152,106,1,Vegan,45.88,Obese
54,Male,199,52,1,Vegan,13.13,Underweight
50,Female,166,86,4,Non-Veg,31.21,Obese
44,Female,157,67,4,Non-Veg,27.18,Overweight
66,Female,178,64,4,Veg,20.2,Normal
33,Male,157,82,2,Veg,33.27,Obese
46,Male,185,75,4,Vegan,21.91,Normal
34,Male,158,83,2,Veg,33.25,Obese
56,Female,164,50,2,Vegan,18.59,Normal
69,Male,183,98,1,Non-Veg,29.26,Overweight
22,Female,165,52,1,Non-Veg,19.1,Normal
43,Female,171,75,3,Non-Veg,25.65,Overweight
29,Male,177,114,3,Veg,36.39,Obese
40,Male,178,98,2,Non-Veg,30.93,Obese
25,Male,169,95,2,Vegan,33.26,Obese
54,Female,183,119,2,Veg,35.53,Obese
48,Male,193,78,2,Vegan,20.94,Normal
66,Female,172,90,4,Vegan,30.42,Obese
42,Male,152,82,4,Non-Veg,35.49,Obese
66,Female,193,74,1,Vegan,19.87,Normal
27,Male,169,62,1,Vegan,21.71,Normal
66,Female,172,76,2,Vegan,25.69,Overweight
55,Female,190,106,3,Non-Veg,29.36,Overweight
53,Male,166,98,4,Veg,35.56,Obese
57,Male,152,97,3,Vegan,41.98,Obese
64,Female,165,116,4,Non-Veg,42.61,Obese
69,Female,192,83,4,Veg,22.52,Normal
66,Female,194,54,3,Non-Veg,14.35,Underweight
18,Male,185,65,1,Vegan,18.99,Normal
42,Male,191,115,1,Vegan,31.52,Obese
41,Male,158,56,3,Vegan,22.43,Normal
21,Female,177,101,1,Vegan,32.24,Obese
36,Female,186,83,4,Veg,23.99,Normal
29,Female,156,119,3,Veg,48.9,Obese
30,Male,151,59,1,Vegan,25.88,Overweight
51,Male,153,119,1,Non-Veg,50.84,Obese
33,Male,162,81,1,Veg,30.86,Obese
61,Female,168,115,2,Veg,40.75,Obese
54,Female,190,119,4,Non-Veg,32.96,Obese
43,Male,188,114,3,Veg,32.25,Obese
60,Male,151,63,4,Non-Veg,27.63,Overweight
23,Male,186,105,4,Non-Veg,30.35,Obese
24,Male,174,109,3,Non-Veg,36.0,Obese
35,Female,177,55,1,Veg,17.56,Underweight
30,Male,169,109,4,Vegan,38.16,Obese
35,Male,163,75,3,Veg,28.23,Overweight
63,Male,185,70,1,Veg,20.45,Normal
39,Male,174,46,3,Non-Veg,15.19,Underweight
22,Female,185,50,4,Veg,14.61,Underweight
30,Female,186,70,3,Vegan,20.23,Normal
37,Male,163,100,4,Veg,37.64,Obese
38,Female,165,60,4,Veg,22.04,Normal
45,Female,173,47,1,Vegan,15.7,Underweight
50,Female,164,118,2,Non-Veg,43.87,Obese
63,Male,176,57,1,Veg,18.4,Underweight
43,Male,176,68,3,Vegan,21.95,Normal
68,Male,198,92,3,Non-Veg,23.47,Normal
29,Female,193,87,1,Veg,23.36,Normal
38,Male,172,108,3,Veg,36.51,Obese
51,Female,159,114,4,Vegan,45.09,Obese
40,Male,194,81,2,Veg,21.52,Normal
23,Female,171,69,1,Vegan,23.6,Normal
43,Female,173,92,2,Veg,30.74,Obese
23,Female,184,109,4,Non-Veg,32.2,Obese
53,Female,161,82,3,Non-Veg,31.63,Obese
67,Male,156,55,4,Vegan,22.6,Normal
50,Male,167,85,2,Veg,30.48,Obese
48,Male,190,54,4,Non-Veg,14.96,Underweight
55,Male,152,87,3,Non-Veg,37.66,Obese
20,Female,160,59,1,Non-Veg,23.05,Normal
55,Male,199,115,3,Non-Veg,29.04,Overweight
35,Female,190,46,4,Non-Veg,12.74,Underweight
60,Female,156,82,2,Non-Veg,33.69,Obese
22,Male,150,78,4,Veg,34.67,Obese
36,Female,170,64,1,Vegan,22.15,Normal
38,Female,153,56,2,Non-Veg,23.92,Normal
18,Female,182,68,2,Veg,20.53,Normal
28,Female,180,99,1,Veg,30.56,Obese
41,Female,175,110,4,Non-Veg,35.92,Obese
63,Male,198,119,3,Vegan,30.35,Obese
60,Male,186,102,2,Vegan,29.48,Overweight
59,Female,178,87,3,Non-Veg,27.46,Overweight
59,Female,161,91,2,Non-Veg,35.11,Obese
49,Female,191,76,2,Vegan,20.83,Normal
18,Female,191,46,1,Non-Veg,12.61,Underweight
56,Male,176,53,2,Non-Veg,17.11,Underweight
63,Male,150,117,4,Veg,52.0,Obese
36,Female,189,89,4,Veg,24.92,Normal
58,Female,171,62,4,Non-Veg,21.2,Normal
60,Male,158,50,3,Non-Veg,20.03,Normal
64,Male,165,113,4,Veg,41.51,Obese
68,Male,188,81,1,Veg,22.92,Normal
43,Female,157,105,1,Veg,42.6,Obese
19,Female,196,64,4,Non-Veg,16.66,Underweight
60,Male,159,68,4,Veg,26.9,Overweight
21,Male,174,62,1,Vegan,20.48,Normal
41,Female,197,77,2,Vegan,19.84,Normal
26,Female,184,54,1,Non-Veg,15.95,Underweight
38,Male,196,59,3,Veg,15.36,Underweight
22,Male,171,108,1,Vegan,36.93,Obese
24,Female,172,69,3,Veg,23.32,Normal
23,Male,183,107,1,Veg,31.95,Obese
66,Male,155,81,3,Non-Veg,33.71,Obese
58,Female,178,102,2,Veg,32.19,Obese
32,Female,175,80,4,Veg,26.12,Overweight
45,Female,165,95,4,Non-Veg,34.89,Obese
59,Male,178,54,2,Vegan,17.04,Underweight
35,Male,188,65,1,Vegan,18.39,Underweight
21,Female,169,54,3,Veg,18.91,Normal
51,Female,195,92,1,Non-Veg,24.19,Normal
56,Male,159,98,4,Veg,38.76,Obese
30,Male,154,59,1,Vegan,24.88,Normal
40,Female,194,61,1,Non-Veg,16.21,Underweight
